Index;t;x;y
978,000000000;64,300827961;5,413796081;2,599588919
979,000000000;64,360150349;5,293894097;2,583856759
980,000000000;64,417753702;5,181431504;2,567812396
981,000000000;64,474103133;5,075120523;2,551427381
982,000000000;64,529504365;4,974094477;2,534692137
983,000000000;64,584176239;4,877723181;2,517605574
984,000000000;64,638281157;4,785530417;2,500171914
985,000000000;64,691946769;4,697138973;2,482397627
986,000000000;64,745276231;4,612242480;2,464290512
987,000000000;64,798354143;4,530588050;2,445859398
988,000000000;64,851250742;4,451963996;2,427113946
989,000000000;64,904028173;4,376186328;2,408063323
990,000000000;64,956737899;4,303099506;2,388717792
991,000000000;65,009428518;4,232562957;2,369086389
992,000000000;65,062140557;4,164456515;2,349179231
993,000000000;65,114911932;4,098671446;2,329005821
994,000000000;65,167777717;4,035109809;2,308575365
995,000000000;65,220770287;3,973683358;2,287896926
996,000000000;65,273917934;3,914314229;2,266980153
997,000000000;65,327248992;3,856929515;2,245833813
998,000000000;65,380789126;3,801463834;2,224466974
999,000000000;65,434562897;3,747857092;2,202888493
1000,000000000;65,488593704;3,696054177;2,181107133
1001,000000000;65,542903700;3,646004678;2,159131671
1002,000000000;65,597515977;3,597660634;2,136970078
1003,000000000;65,652450237;3,550980191;2,114631339
1004,000000000;65,707727167;3,505923417;2,092123730
1005,000000000;65,763366862;3,462453578;2,069455501
1006,000000000;65,819388667;3,420537080;2,046634985
1007,000000000;65,875811900;3,380142753;2,023670340
1008,000000000;65,932655613;3,341241944;2,000569680
1009,000000000;65,989938060;3,303808745;1,977341324
1010,000000000;66,047678790;3,267818539;1,953992970
1011,000000000;66,105895297;3,233250083;1,930533083
1012,000000000;66,164606635;3,200083164;1,906969453
1013,000000000;66,223830589;3,168300264;1,883310360
1014,000000000;66,283586353;3,137885006;1,859563515
1015,000000000;66,343892115;3,108823456;1,835737055
1016,000000000;66,404767349;3,081102930;1,811838642
1017,000000000;66,466230592;3,054713069;1,787876366
1018,000000000;66,528300591;3,029645242;1,763858300
1019,000000000;66,590997063;3,005892275;1,739792230
1020,000000000;66,654339781;2,983448875;1,715686024
1021,000000000;66,718349289;2,962311388;1,691547379
1022,000000000;66,783046170;2,942478106;1,667384115
1023,000000000;66,848451526;2,923949136;1,643204011
1024,000000000;66,914586877;2,906726482;1,619014859
1025,000000000;66,981474512;2,890814025;1,594824351
1026,000000000;67,049138393;2,876217432;1,570639785
1027,000000000;67,117602251;2,862944702;1,546468773
1028,000000000;67,186890465;2,851006022;1,522318937
1029,000000000;67,257030124;2,840413576;1,498197228
1030,000000000;67,328047968;2,831182228;1,474111018
1031,000000000;67,399972666;2,823329301;1,450067344
1032,000000000;67,472834856;2,816874828;1,426072948
1033,000000000;67,546665302;2,811841915;1,402134918
1034,000000000;67,621498254;2,808256695;1,378259632
1035,000000000;67,697369063;2,806148809;1,354453597
1036,000000000;67,774316139;2,805551610;1,330722877
1037,000000000;67,852379637;2,806502555;1,307073575
1038,000000000;67,931603125;2,809043571;1,283511389
1039,000000000;68,012033320;2,813221532;1,260041786
1040,000000000;68,093719982;2,819088737;1,236670121
1041,000000000;68,176718433;2,826703668;1,213401026
1042,000000000;68,261086993;2,836131475;1,190239267
1043,000000000;68,346889978;2,847444977;1,167189035
1044,000000000;68,434197420;2,860725545;1,144254197
1045,000000000;68,523085684;2,876064185;1,121438309
1046,000000000;68,613639242;2,893562997;1,098744369
1047,000000000;68,705950494;2,913336516;1,076175106
1048,000000000;68,800121518;2,935513622;1,053732812
